abbreviation, officialName, equation, subSystem, proteinClass, proteinGeneAssociation, geneAssociation, proteinAssociation
"PIt2m","phosphate transporter, mitochondrial","h[c] + pi[c] <==> h[m] + pi[m]","Transport, Mitochondrial","","Mir1-m (YJR077C) ","YJR077C","Mir1-m"
"PIt2n","phosphate nuclear transport via proton symport","h[c] + pi[c] <==> h[n] + pi[n]","Transport, Nuclear","","","",""
"PIt2p","phosphate peroxisomal transport via proton symport","h[c] + pi[c] <==> h[x] + pi[x]","Transport, Peroxisomal","","","",""
"PIt2r","phosphate reversible transport via symport","h[e] + pi[e] <==> h[c] + pi[c]","Transport, Extracellular","","( Pho84 (YML123C)  ) or ( Pho87 (YCR037C)  ) or ( Pho89 (YBR296C)  ) or ( Pho90 (YJL198W)  ) or ( Pho91 (YNR013C)  )","( YML123C  or  YCR037C  or  YBR296C  or  YJL198W  or  YNR013C )","( Pho84 ) or ( Pho87 ) or ( Pho89 ) or ( Pho90 ) or ( Pho91 )"
"PIt2v","phosphate vacuolar transport via proton symport","h[c] + pi[c] <==> h[v] + pi[v]","Transport, Vacuolar","","","",""
"PIt5m","phosphate transport via hydroxide ion symport, mitochondrial","oh1[m] + pi[c] <==> oh1[c] + pi[m]","Transport, Mitochondrial","","Phc1-m (YER053C) ","YER053C","Phc1-m"
"PLBP1I_SCe","phospholipase B (phosphatidylinositol), yeast-specific (extracellular)","[e] : h2o + (0.005) ptd1ino_SC --> (0.02) dca + (0.06) ddca + (0.5) g3pi + h + (0.27) hdca + (0.17) hdcea + (0.05) ocdca + (0.24) ocdcea + (0.09) ocdcya + (0.1) ttdca","Phospholipid Metabolism","","( Plb1-e (YMR008C)  ) or ( Plb2-e (YMR006C)  ) or ( Plb3-e (YOL011W)  )","( YMR008C  or  YMR006C  or  YOL011W )","( Plb1-e ) or ( Plb2-e ) or ( Plb3-e )"
"PLBPC_SC","phospholipase B (phosphatidylcholine), yeast-specific","[c] : h2o + (0.005) pc_SC --> (0.02) dca + (0.06) ddca + (0.5) g3pc + h + (0.27) hdca + (0.17) hdcea + (0.05) ocdca + (0.24) ocdcea + (0.09) ocdcya + (0.1) ttdca","Phospholipid Metabolism","","Nte1	 (YML059C) ","YML059C","Nte1	"
"PLBPC_SCe","phospholipase B (phosphatidylcholine), yeast-specific (extracellular)","[e] : h2o + (0.005) pc_SC --> (0.02) dca + (0.06) ddca + (0.5) g3pc + h + (0.27) hdca + (0.17) hdcea + (0.05) ocdca + (0.24) ocdcea + (0.09) ocdcya + (0.1) ttdca","Phospholipid Metabolism","","( Plb2-e (YMR006C)  ) or ( Plb1-e (YMR008C)  )","( YMR006C  or  YMR008C )","( Plb2-e ) or ( Plb1-e )"
"PLD_SC","phospholipase D, yeast-specific","[c] : h2o + (0.01) pc_SC --> chol + h + (0.01) pa_SC","Phospholipid Metabolism","","Spo14 (YKR031C) ","YKR031C","Spo14"
"PMANM","phosphomannomutase","[c] : man1p <==> man6p","Fructose and Mannose Metabolism","5.4.2.8","Sec53 (YFL045C) ","YFL045C","Sec53"
"PMDPHT","pyrimidine phosphatase","[c] : 5aprbu + h2o --> 4r5au + pi","Riboflavin Metabolism","","","",""
"PMETM_SC","Phosphatidyl-N-methylethanolamine N-methyltransferase, yeast-specific","[c] : amet + (0.01) ptd2meeta_SC --> ahcys + h + (0.01) pc_SC","Phospholipid Biosynthesis","2.1.1.16","Opi3 (YJR073C) ","YJR073C","Opi3"
"PMEVK","phosphomevalonate kinase","[c] : 5pmev + atp --> 5dpmev + adp","Sterol Metabolism","2.7.4.2","Erg8 (YMR220W) ","YMR220W","Erg8"
"PMI12346PH","5-diphosphoinositol-1,2,3,4,6-pentakisphosphate diphosphohydrolase","[c] : h2o + ppmi12346p --> h + minohp + pi","Phospholipid Metabolism","3.6.1.52","Ddp1 (YOR163W) ","YOR163W","Ddp1"
"PMI12346PS","5-diphosphoinositol-1,2,3,4,6-pentakisphosphate synthase","[c] : atp + minohp --> adp + ppmi12346p","Phospholipid Metabolism","","Kcs1 (YDR017C) ","YDR017C","Kcs1"
"PMI1346PH","diphosphoinositol-1,3,4,6-tetrakisphosphate diphosphohydrolase","[c] : h2o + ppmi1346p --> h + mi13456p + pi","Phospholipid Metabolism","","Ddp1 (YOR163W) ","YOR163W","Ddp1"
"PMI1346PS","diphosphoinositol-1,3,4,6-tetrakisphosphate synthase","[c] : atp + mi13456p --> adp + ppmi1346p","Phospholipid Metabolism","","Kcs1 (YDR017C) ","YDR017C","Kcs1"
"PMPK","phosphomethylpyrimidine kinase","[c] : 4ampm + atp --> 2mahmp + adp","Thiamine Metabolism","2.7.4.7","( Thi20 (YOL055C)  ) or ( Thi21 (YPL258C)  )","( YOL055C  or  YPL258C )","( Thi20 ) or ( Thi21 )"
"PNP","purine-nucleoside phosphorylase","[c] : pi + rnam <==> h + ncam + r1p","NAD Biosynthesis","2.4.2.1","","",""
"PNTK","pantothenate kinase","[c] : atp + pnto-R --> 4ppan + adp + h","Pantothenate and CoA Biosynthesis","2.7.1.33","Pnk1 (YDR531W) ","YDR531W","Pnk1"
"PNTOt2","Pantothenate reversible transport via proton symport","h[e] + pnto-R[e] <==> h[c] + pnto-R[c]","Transport, Extracellular","","Fen2 (YCR028C) ","YCR028C","Fen2"
"POLYAO","polyamine oxidase","[c] : N1aspmd + h2o + o2 --> aproa + aprut + h2o2","Pantothenate and CoA Biosynthesis","1.5.3.11","Fms1 (YMR020W) ","YMR020W","Fms1"
"POLYAO2","poylamine oxidase","[c] : N1sprm + h2o + o2 --> N1aspmd + aproa + h2o2","Pantothenate and CoA Biosynthesis","1.5.3.11","Fms1 (YMR020W) ","YMR020W","Fms1"
"POLYAO3","poylamine oxidase","[c] : h2o + o2 + sprm --> aproa + h2o2 + spmd","Pantothenate and CoA Biosynthesis","1.5.3.11","Fms1 (YMR020W) ","YMR020W","Fms1"
"PPA","inorganic diphosphatase","[c] : h2o + ppi --> h + (2) pi","Oxidative Phosphorylation","3.6.1.1","Ipp1 (YBR011C) ","YBR011C","Ipp1"
"PPAm","inorganic diphosphatase","[m] : h2o + ppi --> h + (2) pi","Oxidative Phosphorylation","3.6.1.1","Ppa2-m (YMR267W) ","YMR267W","Ppa2-m"
"PPBNGS","porphobilinogen synthase","[c] : (2) 5aop --> h + (2) h2o + ppbng","Porphyrin and Chlorophyll Metabolism","4.2.1.24","Hem2 (YGL040C) ","YGL040C","Hem2"
"PPCDC","phosphopantothenoylcysteine decarboxylase","[c] : 4ppcys + h --> co2 + pan4p","Pantothenate and CoA Biosynthesis","4.1.1.36","","",""
"PPCK","phosphoenolpyruvate carboxykinase","[c] : atp + oaa --> adp + co2 + pep","Anaplerotic reactions","4.1.1.49","Pck1 (YKR097W) ","YKR097W","Pck1"
"PPM","phosphopentomutase","[c] : r1p <==> r5p","Pentose Phosphate Pathway","5.4.2.7","( Pgm1 (YKL127W)  ) or ( Pgm2.1 (YMR105C)  )","( YKL127W  or  YMR105C )","( Pgm1 ) or ( Pgm2.1 )"
"PPNCL2","phosphopantothenate-cysteine ligase","[c] : 4ppan + ctp + cys-L --> 4ppcys + cmp + h + ppi","Pantothenate and CoA Biosynthesis","6.3.2.5","","",""
"PPND","prephenate dehydrogenase","[c] : nad + pphn --> 34hpp + co2 + nadh","Tyrosine, Tryptophan, and Phenylalanine Metabolism","1.3.1.12","","",""
"PPND2","prephenate dehydrogenase (NADP)","[c] : nadp + pphn --> 34hpp + co2 + nadph","Tyrosine, Tryptophan, and Phenylalanine Metabolism","1.3.1.13","Tyr1 (YBR166C) ","YBR166C","Tyr1"
"PPNDH","prephenate dehydratase","[c] : h + pphn --> co2 + h2o + phpyr","Tyrosine, Tryptophan, and Phenylalanine Metabolism","4.2.1.51","Pha2 (YNL316C) ","YNL316C","Pha2"
"PPPG9tm","protoporphyrinogen IX mitochondrial transport","pppg9[c] <==> pppg9[m]","Transport, Mitochondrial","","","",""
"PPPGOm","protoporphyrinogen oxidase, mitochondrial","[m] : (3) o2 + (2) pppg9 --> (6) h2o + (2) ppp9","Porphyrin and Chlorophyll Metabolism","1.3.3.4","Hem14-m (YER014W) ","YER014W","Hem14-m"
"PPTTm","trans-pentaprenyltranstransferase, mitochondrial","[m] : ipdp + pendp --> hexdp + ppi","Quinone Biosynthesis","2.5.1.33","Coq1-m (YBR003W) ","YBR003W","Coq1-m"
"PPYRDC","Phenylpyruvate decarboxylase","[c] : h + phpyr --> co2 + pacald","Complex Alcohol Metabolism","","( Pdc1 (YLR044C)  ) or ( Pdc5 (YLR134W)  ) or ( Pdc6 (YGR087C)  ) or ( Aro10 (YDR380W)  )","( YLR044C  or  YLR134W  or  YGR087C  or  YDR380W )","( Pdc1 ) or ( Pdc5 ) or ( Pdc6 ) or ( Aro10 )"
"PRAGSr","phosphoribosylglycinamide synthase","[c] : atp + gly + pram <==> adp + gar + h + pi","Purine and Pyrimidine Biosynthesis","6.3.4.13","Ade5,7 (YGL234W) ","YGL234W","Ade5,7"
"PRAIS","phosphoribosylaminoimidazole synthase","[c] : atp + fpram --> adp + air + (2) h + pi","Purine and Pyrimidine Biosynthesis","6.3.3.1","Ade5,7 (YGL234W) ","YGL234W","Ade5,7"
"PRAIi","phosphoribosylanthranilate isomerase (irreversible)","[c] : pran --> 2cpr5p","Tyrosine, Tryptophan, and Phenylalanine Metabolism","5.3.1.24","Trp1 (YDR007W) ","YDR007W","Trp1"
"PRAMPC","phosphoribosyl-AMP cyclohydrolase","[c] : h2o + prbamp --> prfp","Histidine Metabolism","3.5.4.19","His4 (YCL030C) ","YCL030C","His4"
"PRASCS","phosphoribosylaminoimidazolesuccinocarboxamide synthase","[c] : 5aizc + asp-L + atp <==> 25aics + adp + h + pi","Purine and Pyrimidine Biosynthesis","6.3.2.6","Ade1 (YAR015W) ","YAR015W","Ade1"
"PRATPP","phosphoribosyl-ATP pyrophosphatase","[c] : h2o + prbatp --> h + ppi + prbamp","Histidine Metabolism","3.6.1.31","His4 (YCL030C) ","YCL030C","His4"
"PRFGS","phosphoribosylformylglycinamidine synthase","[c] : atp + fgam + gln-L + h2o --> adp + fpram + glu-L + h + pi","Purine and Pyrimidine Biosynthesis","6.3.5.3","Ade6 (YGR061C) ","YGR061C","Ade6"
"PRMICIi","1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase (irreversible)","[c] : prfp --> prlp","Histidine Metabolism","5.3.1.16","His6 (YIL020C) ","YIL020C","His6"
"PRO1xm","proline oxidase (NAD), mitochondrial","[m] : nad + pro-L --> 1pyr5c + (2) h + nadh","Arginine and Proline Metabolism","","Put1-m (YLR142W) ","YLR142W","Put1-m"
"PROTRS","Prolyl-tRNA synthetase","[c] : atp + pro-L + trnapro --> amp + ppi + protrna","tRNA charging","6.1.1.15","( Prt1 (YER087W)  ) or ( Prt2 (YHR020W)  )","( YER087W  or  YHR020W )","( Prt1 ) or ( Prt2 )"
"PROt2r","L-proline reversible transport via proton symport","h[e] + pro-L[e] <==> h[c] + pro-L[c]","Transport, Extracellular","","( Gap1 (YKR039W)  ) or ( Put4 (YOR348C)  )","( YKR039W  or  YOR348C )","( Gap1 ) or ( Put4 )"
"PROtm","L-proline transport, mitochondrial","pro-L[c] <==> pro-L[m]","Transport, Mitochondrial","","","",""
"PRPPS","phosphoribosylpyrophosphate synthetase","[c] : atp + r5p <==> amp + h + prpp","Histidine Metabolism","2.7.6.1","( Prs2 (YER099C)  ) or ( Prs5 (YOL061W)  ) or ( Prs4 (YBL068W)  ) or ( Prs3 (YHL011C)  ) or ( Prs1 (YKL181W)  )","( YER099C  or  YOL061W  or  YBL068W  or  YHL011C  or  YKL181W )","( Prs2 ) or ( Prs5 ) or ( Prs4 ) or ( Prs3 ) or ( Prs1 )"
"PRPPtm","PRPP reversible transport, mitochondrial","prpp[c] <==> prpp[m]","Transport, Mitochondrial","","","",""
"PSCVTi","3-phosphoshikimate 1-carboxyvinyltransferase, irreversible","[c] : pep + skm5p --> 3psme + pi","Tyrosine, Tryptophan, and Phenylalanine Metabolism","2.5.1.19","Aro1 (YDR127W) ","YDR127W","Aro1"
"PSERDg_SC","phosphatidylserine decarboxylase, yeast-specific, Golgi","[g] : h + (0.01) ps_SC --> co2 + (0.01) pe_SC","Phospholipid Biosynthesis","4.1.1.65","Psd2-g (YGR170W) ","YGR170W","Psd2-g"
"PSERDm_SC","phosphatidylserine decarboxylase, yeast-specific, mitochondrial","[m] : h + (0.01) ps_SC --> co2 + (0.01) pe_SC","Phospholipid Biosynthesis","4.1.1.65","Psd1-m (YNL169C) ","YNL169C","Psd1-m"
"PSERDv_SC","phosphatidylserine decarboxylase, yeast-specific, vacuolar","[v] : h + (0.01) ps_SC --> co2 + (0.01) pe_SC","Phospholipid Biosynthesis","4.1.1.65","Psd2-v (YGR170W) ","YGR170W","Psd2-v"
"PSERS_SC","phosphatidylserine synthase, yeast-specific","[c] : (0.01) cdpdag_SC + ser-L <==> cmp + h + (0.01) ps_SC","Phospholipid Biosynthesis","2.7.8.8","Cho1 (YER026C) ","YER026C","Cho1"
"PSERSm_SC","phosphatidylserine synthase, yeast-specific, mitochondrial","[m] : (0.01) cdpdag_SC + ser-L <==> cmp + h + (0.01) ps_SC","Phospholipid Biosynthesis","2.7.8.8","Cho1-m (YER026C) ","YER026C","Cho1-m"
"PSERT","phosphoserine transaminase","[c] : 3php + glu-L --> akg + pser-L","Glycine and Serine Metabolism","2.6.1.52","Ser1 (YOR184W) ","YOR184W","Ser1"
"PSPH1Pter","phytosphinganine 1-phosphate endoplasmic reticular transport","psph1p[c] --> psph1p[r]","Transport, Endoplasmic Reticular","","","",""
"PSPHPL","phytosphingosine phosphate lyase","[c] : psph1p --> 2hhxdal + ethamp","Sphingolipid Metabolism","","Dpl1 (YDR294C) ","YDR294C","Dpl1"
"PSPHS","Phytosphingosine synthesis","[c] : h + nadph + o2 + sphgn --> h2o + nadp + psphings","Sphingolipid Metabolism","","Sur2 (YDR297W) ","YDR297W","Sur2"
"PSP_L","phosphoserine phosphatase (L-serine)","[c] : h2o + pser-L --> pi + ser-L","Glycine and Serine Metabolism","3.1.3.3","Ser2 (YGR208W) ","YGR208W","Ser2"
"PStg_SC","phosphatidylserine Golgi transport, yeast-specific","ps_SC[c] <==> ps_SC[g]","Transport, Golgi Apparatus","","","",""
"PStm_SC","phosphatidylserine mitochondrial  transport, yeast-specific","ps_SC[c] <==> ps_SC[m]","Transport, Mitochondrial","","","",""
"PStv_SC","phosphatidylserine vacuolar transport, yeast-specific","ps_SC[c] <==> ps_SC[v]","Transport, Vacuolar","","","",""
"PTD1INOtn_SC","phosphatidyl-1D-myo-insoitol nuclear transport, yeast-specific","ptd1ino_SC[c] <==> ptd1ino_SC[n]","Transport, Nuclear","","","",""
"PTD4INOtn_SC","phosphatidyl-1D-myo-4-inositol nuclear transport, yeast-specific","ptd4ino_SC[c] <==> ptd4ino_SC[n]","Transport, Nuclear","","","",""
"PTE10x","peroxisomal acyl-CoA thioesterase","[x] : dcacoa + h2o --> coa + dca + h","Fatty Acid Degradation","","Tes1-p (YJR019C) ","YJR019C","Tes1-p"
"PTE11x","peroxisomal acyl-CoA thioesterase","[x] : ddcacoa + h2o --> coa + ddca + h","Fatty Acid Degradation","","Tes1-p (YJR019C) ","YJR019C","Tes1-p"
"PTE12x","peroxisomal acyl-CoA thioesterase","[x] : h2o + ttccoa --> coa + h + ttc","Fatty Acid Degradation","","Tes1-p (YJR019C) ","YJR019C","Tes1-p"
"PTE2x","peroxisomal acyl-CoA thioesterase","[x] : h2o + pmtcoa --> coa + h + hdca","Fatty Acid Degradation","","Tes1-p (YJR019C) ","YJR019C","Tes1-p"
"PTE7x","peroxisomal acyl-CoA thioesterase","[x] : h2o + tdcoa --> coa + h + ttdca","Fatty Acid Degradation","","Tes1-p (YJR019C) ","YJR019C","Tes1-p"
"PTE8x","peroxisomal acyl-CoA thioesterase","[x] : h2o + stcoa --> coa + h + ocdca","Fatty Acid Degradation","","Tes1-p (YJR019C) ","YJR019C","Tes1-p"
"PTE9x","peroxisomal acyl-CoA thioesterase","[x] : h2o + occoa --> coa + h + octa","Fatty Acid Degradation","","Tes1-p (YJR019C) ","YJR019C","Tes1-p"
"PTPATi","pantetheine-phosphate adenylyltransferase","[c] : atp + h + pan4p --> dpcoa + ppi","Pantothenate and CoA Biosynthesis","2.7.7.3","","",""
"PTPATim","panthetheine-phosphate adenylyltransferase","[m] : atp + h + pan4p --> dpcoa + ppi","Pantothenate and CoA Biosynthesis","2.7.7.3","","",""
"PTRCt3i","putrescine transport in via proton antiport, irreversible","h[c] + ptrc[e] --> h[e] + ptrc[c]","Transport, Extracellular","","( Tpo4 (YOR273C)  ) or ( Tpo1 (YLL028W)  )","( YOR273C  or  YLL028W )","( Tpo4 ) or ( Tpo1 )"
"PTRCtex2","putrescine excretion (cytosol to extracellular)","ptrc[c] --> ptrc[e]","Transport, Extracellular","","Tpo5-g (YKL174C) ","YKL174C","Tpo5-g"
"PUNP1","purine-nucleoside phosphorylase (Adenosine)","[c] : adn + pi <==> ade + r1p","Nucleotide Salvage Pathway","2.4.2.1","Pnp1 (YLR209C) ","YLR209C","Pnp1"
"PUNP1m","purine-nucleoside phosphorylase (Adenosine), mitochondrial","[m] : adn + pi <==> ade + r1p","NAD Biosynthesis","2.4.2.1","Pnp1-m (YLR209C) ","YLR209C","Pnp1-m"
"PUNP2","purine-nucleoside phosphorylase (Deoxyadenosine)","[c] : dad-2 + pi <==> 2dr1p + ade","Nucleotide Salvage Pathway","2.4.2.1","Pnp1 (YLR209C) ","YLR209C","Pnp1"
"PUNP3","purine-nucleoside phosphorylase (Guanosine)","[c] : gsn + pi <==> gua + r1p","Nucleotide Salvage Pathway","2.4.2.1","Pnp1 (YLR209C) ","YLR209C","Pnp1"
"PUNP3m","purine-nucleoside phosphorylase (Guanosine), mitochondrial","[m] : gsn + pi <==> gua + r1p","NAD Biosynthesis","2.4.2.1","Pnp1-m (YLR209C) ","YLR209C","Pnp1-m"
"PUNP4","purine-nucleoside phosphorylase (Deoxyguanosine)","[c] : dgsn + pi <==> 2dr1p + gua","Nucleotide Salvage Pathway","2.4.2.1","Pnp1 (YLR209C) ","YLR209C","Pnp1"
"PUNP5","purine-nucleoside phosphorylase (Inosine)","[c] : ins + pi <==> hxan + r1p","Nucleotide Salvage Pathway","2.4.2.1","Pnp1 (YLR209C) ","YLR209C","Pnp1"
"PUNP6","purine-nucleoside phosphorylase (Deoxyinosine)","[c] : din + pi <==> 2dr1p + hxan","Nucleotide Salvage Pathway","2.4.2.1","Pnp1 (YLR209C) ","YLR209C","Pnp1"
"PUNP7","purine-nucleoside phosphorylase (Xanthosine)","[c] : pi + xtsn <==> r1p + xan","Nucleotide Salvage Pathway","2.4.2.1","Pnp1 (YLR209C) ","YLR209C","Pnp1"
"PYAM5PO","pyridoxamine 5'-phosphate oxidase","[c] : h2o + o2 + pyam5p --> h2o2 + nh4 + pydx5p","Pyridoxine Metabolism","1.4.3.5","Pdx3 (YBR035C) ","YBR035C","Pdx3"
"PYDAMK","pyridoxamine kinase","[c] : atp + pydam --> adp + h + pyam5p","Pyridoxine Metabolism","2.7.1.35","","",""
"PYDXK","pyridoxal kinase","[c] : atp + pydx --> adp + h + pydx5p","Pyridoxine Metabolism","2.7.1.35","","",""
"PYDXNK","pyridoxine kinase","[c] : atp + pydxn --> adp + h + pdx5p","Pyridoxine Metabolism","2.7.1.35","","",""
"PYDXNO","pyridoxine oxidase","[c] : o2 + pydxn <==> h2o2 + pydx","Pyridoxine Metabolism","1.4.3.5","Pdx3 (YBR035C) ","YBR035C","Pdx3"
"PYDXO","pyridoxal oxidase","[c] : (2) h2o + nh4 + (0.5) o2 + pydx <==> (2) h2o2 + pydam","Pyridoxine Metabolism","1.4.3.5","Pdx3 (YBR035C) ","YBR035C","Pdx3"
"PYK","pyruvate kinase","[c] : adp + h + pep --> atp + pyr","Glycolysis/Gluconeogenesis","2.7.1.40","( Cdc19 (YAL038W)  ) or ( Pyk2 (YOR347C)  )","( YAL038W  or  YOR347C )","( Cdc19 ) or ( Pyk2 )"
"PYNP2r","pyrimidine-nucleoside phosphorylase (uracil)","[c] : pi + uri <==> r1p + ura","Nucleotide Salvage Pathway","2.4.2.2","","",""
"PYR5CDm","D1-pyrroline-5-carboxylate dehydrogenase, mitochondrial","[m] : glu5sa + h2o + nadp --> glu-L + (2) h + nadph","Glutamate metabolism","1.5.1.12","Put2-m (YHR037W) ","YHR037W","Put2-m"
"PYRDC","pyruvate decarboxylase","[c] : h + pyr --> acald + co2","Pyruvate Metabolism","4.1.1.1","( Pdc6 (YGR087C)  ) or ( Pdc5 (YLR134W)  ) or ( Pdc1 (YLR044C)  )","( YGR087C  or  YLR134W  or  YLR044C )","( Pdc6 ) or ( Pdc5 ) or ( Pdc1 )"
"PYRDC2","pyruvate decarboxylase (acetoin-forming)","[c] : acald + h + pyr --> actn-R + co2","Pyruvate Metabolism","4.1.1.1","( Pdc1 (YLR044C)  ) or ( Pdc6 (YGR087C)  ) or ( Pdc5 (YLR134W)  )","( YLR044C  or  YGR087C  or  YLR134W )","( Pdc1 ) or ( Pdc6 ) or ( Pdc5 )"
"PYRt","Pyruvate exchange, diffusion","pyr[c] --> pyr[e]","Transport, Extracellular","","","",""
"PYRt2","pyruvate transport in via proton symport","h[e] + pyr[e] --> h[c] + pyr[c]","Transport, Extracellular","","Jen1 (YKL217W) ","YKL217W","Jen1"
"PYRt2m","pyruvate mitochondrial transport via proton symport","h[c] + pyr[c] <==> h[m] + pyr[m]","Transport, Mitochondrial","","","",""
"PYRt2p","pyruvate peroxisomal transport via proton symport","h[c] + pyr[c] <==> h[x] + pyr[x]","Transport, Peroxisomal","","","",""
"QUILSYN","Quinolinate Synthase (Eukaryotic)","[c] : cmusa --> h + h2o + quln","Quinone Biosynthesis","","","",""
"QULNS","quinolinate synthase","[c] : dhap + iasp --> (2) h2o + pi + quln","Folate Metabolism","","","",""
"QULNtm","Quinolinate reversible mitochondrial transport","quln[c] <==> quln[m]","Transport, Mitochondrial","","","",""
"RAFGH","Raffinose galactohydrolase","[c] : h2o + raffin --> gal + sucr","Galactose metabolism","3.2.1.22","Mel1 (YBR184W) ","YBR184W","Mel1"
"RBFK","riboflavin kinase","[c] : atp + ribflv --> adp + fmn + h","Riboflavin Metabolism","2.7.1.26","Fmn1 (YDR236C) ","YDR236C","Fmn1"
"RBFKm","riboflavin kinase, mitochondrial","[m] : atp + ribflv --> adp + fmn + h","Riboflavin Metabolism","2.7.1.26","Fmn1-m (YDR236C) ","YDR236C","Fmn1-m"
"RBFSa","riboflavin synthase","[c] : 4r5au + db4p --> dmlz + (2) h2o + pi","Riboflavin Metabolism","2.5.1.9","Rib4 (YOL143C) ","YOL143C","Rib4"
"RBFSb","riboflavin synthase","[c] : (2) dmlz --> 4r5au + ribflv","Riboflavin Metabolism","2.5.1.9","Rib5 (YBR256C) ","YBR256C","Rib5"
"RBK","ribokinase","[c] : atp + rib-D --> adp + h + r5p","Pentose Phosphate Pathway","2.7.1.15","Rbk1 (YCR036W) ","YCR036W","Rbk1"
"RIBFLVt2","riboflavin transport in via proton symport","h[e] + ribflv[e] --> h[c] + ribflv[c]","Transport, Extracellular","","","",""
"RIBFLVtm","Riboflavin reversible mitochondrial transport","ribflv[c] <==> ribflv[m]","Transport, Mitochondrial","","","",""
"RIBt2","ribose transport in via proton symporter","h[e] + rib-D[e] --> h[c] + rib-D[c]","Transport, Extracellular","","","",""
"RNDR1","ribonucleoside-diphosphate reductase (ADP)","[c] : adp + trdrd --> dadp + h2o + trdox","Nucleotide Salvage Pathway","1.17.4.1","( Rnr32 ( YIL066C and YJL026W )  and Trx1 (YLR043C)  ) or ( Rnr32 ( YIL066C and YJL026W )  and Trx2 (YGR209C)  ) or ( Rnr12 ( YER070W and YJL026W )  and Trx1 (YLR043C)  ) or ( Rnr12 ( YER070W and YJL026W )  and Trx2 (YGR209C)  )","( ( ( YIL066C  and  YJL026W )  and  YLR043C )  or  ( ( YIL066C  and  YJL026W )  and  YGR209C )  or  ( ( YER070W  and  YJL026W )  and  YLR043C )  or  ( ( YER070W  and  YJL026W )  and  YGR209C ) )","( Rnr32 and Trx1 ) or ( Rnr32 and Trx2 ) or ( Rnr12 and Trx1 ) or ( Rnr12 and Trx2 )"
"RNDR1n","ribonucleoside-diphosphate reductase, nuclear","[n] : adp + trdrd --> dadp + h2o + trdox","Nucleotide Salvage Pathway","1.17.4.1","( Rnr34-n ( YGR180C and YIL066C )  and Trx1 (YLR043C)  ) or ( Rnr34-n ( YGR180C and YIL066C )  and Trx2 (YGR209C)  ) or ( Rnr14-n ( YER070W and YGR180C )  and Trx1 (YLR043C)  ) or ( Rnr14-n ( YER070W and YGR180C )  and Trx2 (YGR209C)  )","( ( ( YGR180C  and  YIL066C )  and  YLR043C )  or  ( ( YGR180C  and  YIL066C )  and  YGR209C )  or  ( ( YER070W  and  YGR180C )  and  YLR043C )  or  ( ( YER070W  and  YGR180C )  and  YGR209C ) )","( Rnr34-n and Trx1 ) or ( Rnr34-n and Trx2 ) or ( Rnr14-n and Trx1 ) or ( Rnr14-n and Trx2 )"
"RNDR2","ribonucleoside-diphosphate reductase (GDP)","[c] : gdp + trdrd --> dgdp + h2o + trdox","Nucleotide Salvage Pathway","1.17.4.1","( Rnr12 ( YER070W and YJL026W )  and Trx1 (YLR043C)  ) or ( Rnr12 ( YER070W and YJL026W )  and Trx2 (YGR209C)  )","( ( ( YER070W  and  YJL026W )  and  YLR043C )  or  ( ( YER070W  and  YJL026W )  and  YGR209C ) )","( Rnr12 and Trx1 ) or ( Rnr12 and Trx2 )"
"RNDR2n","ribonucleoside-diphosphate reductase (GDP), nuclear","[n] : gdp + trdrd --> dgdp + h2o + trdox","Nucleotide Salvage Pathway","1.17.4.1","( Rnr14-n ( YER070W and YGR180C )  and Trx1 (YLR043C)  ) or ( Rnr14-n ( YER070W and YGR180C )  and Trx2 (YGR209C)  )","( ( ( YER070W  and  YGR180C )  and  YLR043C )  or  ( ( YER070W  and  YGR180C )  and  YGR209C ) )","( Rnr14-n and Trx1 ) or ( Rnr14-n and Trx2 )"
"RNDR3","ribonucleoside-diphosphate reductase (CDP)","[c] : cdp + trdrd --> dcdp + h2o + trdox","Nucleotide Salvage Pathway","1.17.4.1","( Rnr12 ( YER070W and YJL026W )  and Trx1 (YLR043C)  ) or ( Rnr12 ( YER070W and YJL026W )  and Trx2 (YGR209C)  )","( ( ( YER070W  and  YJL026W )  and  YLR043C )  or  ( ( YER070W  and  YJL026W )  and  YGR209C ) )","( Rnr12 and Trx1 ) or ( Rnr12 and Trx2 )"
