FUNCTIONAL ROLE	GENE ID	SUBSYSTEMS	SUBSYSTEM CLASS	REACTIONS
"Acetolactate synthase, catabolic (EC 2.2.1.6)"	peg.3608	"Acetoin,_butanediol_metabolism|Alpha-acetolactate_operon|Murein_hydrolase_regulation_and_cell_death"	Carbohydrates|Cell Division and Cell Cycle	rxn00011|rxn02185
Transcriptional regulator of alpha-acetolactate operon alsR	peg.3609			
Arsenical pump membrane protein	peg.3610			rxn05507|rxn05506
Spore coat protein B	peg.3612	Bsub-Spore-Coat	Cell Wall and Capsule	
Inner spore coat protein H	peg.3613	Bsub-Spore-Coat	Cell Wall and Capsule	
Spore coat protein G	peg.3614	Bsub-Spore-Coat	Cell Wall and Capsule	
Nitrilotriacetate monooxygenase component B (EC 1.14.13.-)	peg.3615			
Chromate transport protein	peg.3619|peg.3620			rxn05526
Trp repressor binding protein	peg.3622			
Endonuclease V (EC 3.1.21.7)	peg.3624	"DNA_repair,_bacterial"	DNA Metabolism	
Manganese-dependent protein-tyrosine phosphatase (EC 3.1.3.48)	peg.3631	Exopolysaccharide_Biosynthesis	Cell Wall and Capsule	
Tyrosine-protein kinase EpsD (EC 2.7.10.2)	peg.3632	Exopolysaccharide_Biosynthesis|Extracellular_Polysaccharide_Biosynthesis_of_Streptococci	Cell Wall and Capsule	
Tyrosine-protein kinase transmembrane modulator EpsC	peg.3633	Exopolysaccharide_Biosynthesis|Extracellular_Polysaccharide_Biosynthesis_of_Streptococci	Cell Wall and Capsule	
"Helicase, SNF2/RAD54 family"	peg.3635			
transcriptional regulator (DeoR family)	peg.3637			
Single-stranded DNA-binding protein	peg.3638|peg.4096	"DNA_repair,_bacterial|DNA_repair,_bacterial_RecFOR_pathway|pVir_Plasmid_of_Campylobacter"	DNA Metabolism|Virulence	rxn05294
"Sortase A, LPXTG specific"	peg.3641			
Large-conductance mechanosensitive channel	peg.3643			
(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase (EC 4.2.1.-)	peg.3644	Fatty_Acid_Biosynthesis_FASII	Fatty Acids and Lipids	rxn05398|rxn05333|rxn05330|rxn05415|rxn05419|rxn05402|rxn05335|rxn05369|rxn05381|rxn05386|rxn05361|rxn05334|rxn05394|rxn05406|rxn05365|rxn05332|rxn05329|rxn05427|rxn05390|rxn05423|rxn05462|rxn05411|rxn05431|rxn05373|rxn05331|rxn05377
Flagellar basal-body rod protein flgF	peg.3647	Flagellum	Motility and Chemotaxis	
MreB-like protein (Mbl protein)	peg.3648	Bacterial_Cytoskeleton	Cell Division and Cell Cycle	
Stage III sporulation protein D	peg.3649			
required for translation of spoIIID	peg.3650			
Pectin lyase like protein	peg.3653			
Cytosine/purine/uracil/thiamine/allantoin permease family protein	peg.3654			rxn05316|rxn05204|rxn05527|rxn09657|rxn05197|rxn05317|rxn05680|rxn05318|rxn05203|rxn05682
putative efflux protein	peg.3655			
Nicotinamidase/isochorismatase family protein	peg.3656	NAD_and_NADP_cofactor_biosynthesis_global	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	
Ammonium transporter	peg.3658			rxn05466
Nitrogen regulatory protein P-II	peg.3659			
Bacitracin transport permease protein BCRC	peg.3660			
Stage II sporulation protein related to metaloproteases (SpoIIQ)	peg.3662			
Phosphinothricin N-acetyltransferase (EC 2.3.1.-)	peg.3663			
Cardiolipin synthetase (EC 2.7.8.-)	peg.3666|peg.3731	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	Fatty Acids and Lipids	rxn10342|rxn10340|rxn10339|rxn10334|rxn10337|rxn10338|rxn10341|rxn10336|rxn10335
positive regulation of multidrug-efflux transporter genes (bmr and blt)	peg.3667			
Rrf2-linked NADH-flavin reductase	peg.3669			
"Rrf2 family transcriptional regulator, group III"	peg.3670	Rrf2_family_transcriptional_regulators	RNA Metabolism	
Urease alpha subunit (EC 3.5.1.5)	peg.3671	Transport_of_Nickel_and_Cobalt|Urea_decomposition	Membrane Transport|Amino Acids and Derivatives	rxn00101
Urease beta subunit (EC 3.5.1.5)	peg.3672	Urea_decomposition	Amino Acids and Derivatives	rxn00101
Urease gamma subunit (EC 3.5.1.5)	peg.3673	Urea_decomposition	Amino Acids and Derivatives	rxn00101
dephosphorylates Spo0F-P	peg.3676			
Molybdenum cofactor biosynthesis protein A	peg.3677	Molybdopterin_biosynthesis|YgfZ	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	
Formate dehydrogenase chain D (EC 1.2.1.2)	peg.3678			rxn00371
D-amino acid dehydrogenase large subunit (EC 1.4.99.1)	peg.3680|peg.3681	Respiratory_dehydrogenases_1	Respiration	
Stage II sporulation protein D (SpoIID)	peg.3682			
UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)	peg.3683|peg.3717			rxn00461
ATP synthase epsilon chain (EC 3.6.3.14)	peg.3687	F0F1-type_ATP_synthase	Respiration	rxn10042
ATP synthase beta chain (EC 3.6.3.14)	peg.3688	F0F1-type_ATP_synthase	Respiration	rxn10042
ATP synthase gamma chain (EC 3.6.3.14)	peg.3689	F0F1-type_ATP_synthase	Respiration	rxn10042
ATP synthase alpha chain (EC 3.6.3.14)	peg.3690	F0F1-type_ATP_synthase	Respiration	rxn10042
ATP synthase delta chain (EC 3.6.3.14)	peg.3691	F0F1-type_ATP_synthase	Respiration	rxn10042
ATP synthase B chain (EC 3.6.3.14)	peg.3692	F0F1-type_ATP_synthase	Respiration	rxn10042
ATP synthase C chain (EC 3.6.3.14)	peg.3693	F0F1-type_ATP_synthase	Respiration	rxn10042
ATP synthase A chain (EC 3.6.3.14)	peg.3694	F0F1-type_ATP_synthase	Respiration	rxn10042
ATP synthase protein I	peg.3695	F0F1-type_ATP_synthase	Respiration	rxn10042
phosphoribosyltransferase	peg.3696			rxn00711
Serine hydroxymethyltransferase (EC 2.1.2.1)	peg.3697	5-FCL-like_protein|Folate_Biosynthesis|Glycine_Biosynthesis|Glycine_and_Serine_Utilization|Glycine_cleavage_system|Photorespiration_(oxidative_C2_cycle)|Serine-glyoxylate_cycle|Serine_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments|Amino Acids and Derivatives|Carbohydrates"	rxn00692
Ribose 5-phosphate isomerase B (EC 5.3.1.6)	peg.3699	Calvin-Benson_cycle|D-ribose_utilization|Dihydroxyacetone_kinases|Pentose_phosphate_pathway	Carbohydrates	rxn00777
Hypothetical transmembrane protein ywlD	peg.3701			
Sua5 YciO YrdC YwlC family protein	peg.3702	YrdC-YciO|tRNA_modification_Archaea|tRNA_modification_Archaea_Henri|tRNA_modification_Bacteria|tRNA_modification_yeast_cytoplasmic|tRNA_modification_yeast_mitochondrial	RNA Metabolism	
Stage II sporulation protein required for processing of pro-sigma-E (SpoIIR)	peg.3704			
Methylase of polypeptide chain release factors	peg.3707			
Peptide chain release factor 1	peg.3708	Translation_factors_bacterial	Protein Metabolism	
Malate permease	peg.3711	"Pyruvate_metabolism_I:_anaplerotic_reactions,_PEP"	Carbohydrates	rxn05603|rxn05605
Thymidine kinase (EC 2.7.1.21)	peg.3713	Folate_Biosynthesis|pyrimidine_conversions	"Cofactors, Vitamins, Prosthetic Groups, Pigments|Nucleosides and Nucleotides"	rxn01518|rxn01143
Transcription termination factor Rho	peg.3715	Transcription_factors_bacterial	RNA Metabolism	
"Fructose-1,6-bisphosphatase, GlpX type (EC 3.1.3.11)"	peg.3716	"Calvin-Benson_cycle|Glycolysis_and_Gluconeogenesis|Glycolysis_and_Gluconeogenesis,_including_Archaeal_enzymes"	Carbohydrates	rxn00549
Transaldolase (EC 2.2.1.2)	peg.3718	Folate_Biosynthesis|Pentose_phosphate_pathway	"Cofactors, Vitamins, Prosthetic Groups, Pigments|Carbohydrates"	rxn01333
Fructose-bisphosphate aldolase class II (EC 4.1.2.13)	peg.3719	Calvin-Benson_cycle|Formaldehyde_assimilation:_Ribulose_monophosphate_pathway|Glycolysis_and_Gluconeogenesis|Hexitol_degradation	Carbohydrates	rxn01870|rxn00786|rxn01334
Sporulation initiation phosphotransferase (Spo0F)	peg.3720			
CTP synthase (EC 6.3.4.2)	peg.3722	pyrimidine_conversions	Nucleosides and Nucleotides	rxn00410|rxn00412
DNA-directed RNA polymerase delta subunit (EC 2.7.7.6)	peg.3723	RNA_polymerase_bacterial	RNA Metabolism	
Fe-S oxidoreductase	peg.3725			
Uncharacterized protein ywjE	peg.3726			
"UV-endonuclease, putative"	peg.3727			
Bifunctional deaminase-reductase domain protein	peg.3729|peg.4082			
Uncharacterized ABC transporter ATP-binding protein ywjA	peg.3730			
Respiratory nitrate reductase gamma chain (EC 1.7.99.4)	peg.3732			rxn05748
Respiratory nitrate reductase delta chain (EC 1.7.99.4)	peg.3733			rxn05748
Respiratory nitrate reductase beta chain (EC 1.7.99.4)	peg.3734			rxn05748
Respiratory nitrate reductase alpha chain (EC 1.7.99.4)	peg.3735			rxn05748
"regulation of anaerobic genes (narK, narGHJI)"	peg.3738			
Arginyl-tRNA synthetase (EC 6.1.1.19)	peg.3740	tRNA_aminoacylation	Protein Metabolism	rxn05296
DUF1934 domain-containing protein	peg.3741			
subtilosin A	peg.3742			
Antilisterial bacteriocin subtilosin biosynthesis protein albA	peg.3743			
ZINC PROTEASE (EC 3.4.99.-)	peg.3748			
surface antigen gene	peg.3750|peg.3751			
regulator of the activity of phosphatase RapF	peg.3753			
EBSC protein	peg.3754			
Agmatinase (EC 3.5.3.11)	peg.3755	Arginine_and_Ornithine_Degradation|Polyamine_Metabolism	Amino Acids and Derivatives	rxn00858
Spermidine synthase (EC 2.5.1.16)	peg.3756	Polyamine_Metabolism	Amino Acids and Derivatives	rxn01406|rxn02061
Monofunctional biosynthetic peptidoglycan transglycosylase (EC 2.4.2.-)	peg.3757			
4-oxalocrotonate tautomerase (EC 5.3.2.-)	peg.3760	Central_meta-cleavage_pathway_of_aromatic_compound_degradation	Metabolism of Aromatic Compounds	rxn03690
methylenomycin A resistance protein	peg.3763			
Rrf2 family transcriptional regulator	peg.3764	Motility_of_Campylobacter|Rrf2_family_transcriptional_regulators	Motility and Chemotaxis|RNA Metabolism	
LysR family transcriptional regulator YeiE	peg.3771			
Phosphate acetyltransferase (EC 2.3.1.8)	peg.3772	"Acetyl-CoA_pathway_of_CO2_fixation|Ethanolamine_utilization|Fermentations:_Lactate|Fermentations:_Mixed_acid|MLST|Propanediol_utilization|Pyruvate_metabolism_II:_acetyl-CoA,_acetogenesis_from_pyruvate|Threonine_anaerobic_catabolism_gene_cluster"	Carbohydrates|Virulence|Amino Acids and Derivatives	rxn00173|rxn00670
Vng2021c	peg.3773			
Bacilysin biosynthesis oxidoreductase ywfH (EC 1.-.-.-)	peg.3774			
Bacilysin exporter protein BacE	peg.3776	Bacilysin_biosynthesis	Amino Acids and Derivatives	
Alanine-anticapsin ligase BacD	peg.3777	Bacilysin_biosynthesis	Amino Acids and Derivatives	
Bacilysin biosynthesis oxidoreductase BacC	peg.3778	Bacilysin_biosynthesis	Amino Acids and Derivatives	
Bacilysin biosynthesis protein BacB	peg.3779	Bacilysin_biosynthesis	Amino Acids and Derivatives	
Bacilysin biosynthesis protein BacA	peg.3780	Bacilysin_biosynthesis	Amino Acids and Derivatives	
MFS transporter	peg.3781|peg.4072			
Arginine permease RocE	peg.3782|peg.4039	Arginine_and_Ornithine_Degradation	Amino Acids and Derivatives	rxn05303
involved in arginine and ornithine utilization	peg.3783			
spore coat polysaccharide synthesis	peg.3787|peg.3791|peg.3793|peg.3795|peg.3796			
"dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)"	peg.3788	Rhamnose_containing_glycans|dTDP-rhamnose_synthesis|linker_unit-arabinogalactan_synthesis	Cell Wall and Capsule	rxn01997
Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	peg.3789	Rhamnose_containing_glycans|dTDP-rhamnose_synthesis|linker_unit-arabinogalactan_synthesis	Cell Wall and Capsule	rxn01675
N-Acetylneuraminate cytidylyltransferase (EC 2.7.7.43)	peg.3790	CMP-N-acetylneuraminate_Biosynthesis|Sialic_Acid_Metabolism	Cell Wall and Capsule	rxn00827
N-acetylneuraminate synthase (EC 2.5.1.56)	peg.3792	CMP-N-acetylneuraminate_Biosynthesis|Sialic_Acid_Metabolism	Cell Wall and Capsule	rxn01316
"Putative aminotransferase, DegT family"	peg.3794			
alternate gene name: ipa-62r	peg.3797			
COG2363	peg.3798			
alternate gene name: ipa-59d	peg.3800			
Uracil-DNA glycosylase (EC 3.2.2.-)	peg.3802	DNA_Repair_Base_Excision	DNA Metabolism	
probable glycosyl transferase	peg.3803			
alternate gene name: ipa-55d	peg.3804			
alternate gene name: ipa-54d	peg.3805			
alternate gene name: ipa-53r	peg.3806			
alternate gene name: ipa-51d	peg.3808			
Sucrose-6-phosphate hydrolase (EC 3.2.1.26)	peg.3809	Fructooligosaccharides(FOS)_and_Raffinose_Utilization|Sucrose-specific_PTS|Sucrose_Metabolism|Sucrose_utilization	Carbohydrates|Membrane Transport	rxn01737|rxn02760
"PTS system, sucrose-specific IIB component (EC 2.7.1.69)"	peg.3810	Sucrose_utilization	Carbohydrates	rxn05655
"PTS system, sucrose-specific IIC component (EC 2.7.1.69)"	peg.3810	Sucrose_utilization	Carbohydrates	rxn05655
Formate/nitrite family of transporters	peg.3811			rxn05559|rxn05625
SacPA operon antiterminator	peg.3812			
alternate gene name: ipa-46d	peg.3813			
extracellular serine protease	peg.3814|peg.3845			
NADPH-linked nitro/flavin reductase [EC:1.-.-.-]	peg.3816			rxn03975|rxn03976
Uncharacterized membrane protein ywcF	peg.3817			
alternate gene name: ipa-41r	peg.3818			
AA3-600 quinol oxidase subunit IV	peg.3819	Cytochrome_c_oxidases_d@O_copy|Terminal_AA3-600_quinol_oxidase|Terminal_cytochrome_oxidases	Respiration	rxn10046
AA3-600 quinol oxidase subunit IIII	peg.3820	Cytochrome_c_oxidases_d@O_copy|Terminal_AA3-600_quinol_oxidase|Terminal_cytochrome_oxidases	Respiration	rxn10046
AA3-600 quinol oxidase subunit I	peg.3821	Cytochrome_c_oxidases_d@O_copy|Terminal_AA3-600_quinol_oxidase|Terminal_cytochrome_oxidases	Respiration	rxn10046
AA3-600 quinol oxidase subunit II	peg.3822	Cytochrome_c_oxidases_d@O_copy|Terminal_AA3-600_quinol_oxidase|Terminal_cytochrome_oxidases	Respiration	rxn10046
YWZA protein	peg.3823			
Galactose-1-phosphate uridylyltransferase (EC 2.7.7.10)	peg.3824	Lactose_and_Galactose_Uptake_and_Utilization	Carbohydrates	rxn00355
Galactokinase (EC 2.7.1.6)	peg.3825	Lactose_and_Galactose_Uptake_and_Utilization	Carbohydrates	rxn00808
alternate gene name: ipa-34d	peg.3826			
alternate gene name: ipa-33d	peg.3827			
alternate gene name: ipa-32r	peg.3828			
Putative symporter yjcG	peg.3829			rxn05308
alternate gene name: ipa-30d	peg.3830			
Ferrous iron transport peroxidase EfeB	peg.3831			rxn05292
Ferrous iron transport periplasmic protein EfeO	peg.3832			rxn05292
Hydroxyethylthiazole kinase (EC 2.7.1.50)	peg.3835	Thiamin_biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn03075
LysR family regulatory protein CidR	peg.3836	Murein_hydrolase_regulation_and_cell_death	Cell Division and Cell Cycle	
Holin-like protein CidA	peg.3837	Murein_hydrolase_regulation_and_cell_death	Cell Division and Cell Cycle	
CidA-associated membrane protein CidB	peg.3838	Murein_hydrolase_regulation_and_cell_death	Cell Division and Cell Cycle	
Permeases of the major facilitator superfamily	peg.3839|peg.4090			
alternate gene name: ipa-20r	peg.3840			
LSU m5C1962 methyltransferase RlmI	peg.3841	Ribosome_biogenesis_bacterial|tRNA_modification_Bacteria	Protein Metabolism|RNA Metabolism	
alternate gene name: ipa-17d	peg.3843			
Negative regulatory protein of antiterminator SacY	peg.3846			
"PTS system, sucrose-specific IIB component (EC 2.7.1.69), but not"	peg.3846			
"PTS system, sucrose-specific IIC component (EC 2.7.1.69), but not"	peg.3846			
Levansucrase and sucrase synthesis operon antiterminator	peg.3847			
alternate gene name: ipa-11d	peg.3849			
Putative HTH-type transcriptional regulator ywaE	peg.3850			
"Aminopeptidase Y (Arg, Lys, Leu preference) (EC 3.4.11.-)"	peg.3852	Protein_degradation	Protein Metabolism	
"1,4-dihydroxy-2-naphthoate octaprenyltransferase (EC 2.5.1.-)"	peg.3854	Menaquinone_and_Phylloquinone_Biosynthesis	"Cofactors, Vitamins, Prosthetic Groups, Pigments"	rxn05267
D-alanine--poly(phosphoribitol) ligase subunit 1 (EC 6.1.1.13)	peg.3855	D-Alanyl_Lipoteichoic_Acid_Biosynthesis|Methicillin_resistance_in_Staphylococci|Teichoic_and_lipoteichoic_acids_biosynthesis	Cell Wall and Capsule|Virulence	rxn10191
D-alanyl transfer protein DltB	peg.3856	D-Alanyl_Lipoteichoic_Acid_Biosynthesis|Methicillin_resistance_in_Staphylococci|Teichoic_and_lipoteichoic_acids_biosynthesis	Cell Wall and Capsule|Virulence	rxn10191
D-alanine--poly(phosphoribitol) ligase subunit 2 (EC 6.1.1.13)	peg.3857	D-Alanyl_Lipoteichoic_Acid_Biosynthesis|Methicillin_resistance_in_Staphylococci|Teichoic_and_lipoteichoic_acids_biosynthesis	Cell Wall and Capsule|Virulence	rxn10191
Poly(glycerophosphate chain) D-alanine transfer protein DltD	peg.3858	D-Alanyl_Lipoteichoic_Acid_Biosynthesis|Methicillin_resistance_in_Staphylococci|Teichoic_and_lipoteichoic_acids_biosynthesis	Cell Wall and Capsule|Virulence	rxn10191
Short-chain dehydrodenase (gene dltE)	peg.3859			
"PTS system, lichenan-, cellobiose-specific IIB component (EC 2.7.1.69)"	peg.3864			rxn05518
"Transcriptional antiterminator of lichenan operon, BglG family"	peg.3865	Beta-Glucoside_Metabolism	Carbohydrates	
Putative 3-methyladenine DNA glycosylase (EC 3.2.2.-)	peg.3867			
RNA polymerase sigma factor SigY	peg.3875			
Purine-cytosine permease	peg.3876			rxn05316|rxn05204|rxn05527|rxn05317|rxn05680|rxn05318|rxn05203
"YjeF protein, C-terminal domain"	peg.3877			
Transport ATP-binding protein CydD	peg.3878	Cytochrome_c_oxidases_d@O_copy|Terminal_cytochrome_d_ubiquinol_oxidases|Terminal_cytochrome_oxidases	Respiration	
Transport ATP-binding protein CydC	peg.3879	Cytochrome_c_oxidases_d@O_copy|Terminal_cytochrome_d_ubiquinol_oxidases|Terminal_cytochrome_oxidases	Respiration	
Cytochrome d ubiquinol oxidase subunit II (EC 1.10.3.-)	peg.3880	Cytochrome_c_oxidases_d@O_copy|Terminal_cytochrome_d_ubiquinol_oxidases|Terminal_cytochrome_oxidases	Respiration	rxn10045
L-Malate Citrate symporter (TC 2.A.24.2.4)	peg.3882			rxn05211|rxn05605
Polysaccharide deacetylase	peg.3885	Vibrio_Core_Oligosaccharide_Biosynthesis	Cell Wall and Capsule	
Leucine-rich protein	peg.3887			
UDP-glucose 4-epimerase (EC 5.1.3.2)	peg.3891	Lactose_and_Galactose_Uptake_and_Utilization|N-linked_Glycosylation_in_Bacteria|Rhamnose_containing_glycans|linker_unit-arabinogalactan_synthesis	Carbohydrates|Virulence|Cell Wall and Capsule	rxn00214|rxn00295
Phospholipid-binding protein	peg.3892			
putative two-component system response regulator	peg.3896			
Tripeptide aminopeptidase (EC 3.4.11.4)	peg.3897			rxn00350
Methionine synthase II (cobalamin-independent)	peg.3900|peg.3901			rxn00693
D-beta-hydroxybutyrate dehydrogenase (EC 1.1.1.30)	peg.3902			rxn00992
Butyrate-acetoacetate CoA-transferase subunit B (EC 2.8.3.9)	peg.3903			rxn00290|rxn00994
Butyrate-acetoacetate CoA-transferase subunit A (EC 2.8.3.9)	peg.3904			rxn00290|rxn00994
D-beta-hydroxybutyrate permease	peg.3905			
Ribosomal RNA large subunit methyltransferase A (EC 2.1.1.51)	peg.3906	rRNA_modification_Bacteria	RNA Metabolism	
Nucleoside permease nupC	peg.3907			rxn05198|rxn05199|rxn05200|rxn05205
Ca(2+) Citrate symporter (TC 2.A.11.1.2)	peg.3911	"Citrate_Metabolism,_Transport,_and_Regulation"	Carbohydrates	rxn05213
"Endo-beta-1,3-1,4 glucanase (Licheninase) (EC 3.2.1.73)"	peg.3912	Beta-Glucoside_Metabolism	Carbohydrates	
"Beta-glucoside bgl operon antiterminator, BglG family"	peg.3913	Beta-Glucoside_Metabolism	Carbohydrates	
MDR-type permease	peg.3915			
ATP-dependent RNA helicase Bsu3907	peg.3916	"ATP-dependent_RNA_helicases,_bacterial"	RNA Metabolism	
"cell wall-associated protein precursor (CWBP200, 105, 62)"	peg.3928			
Universal stress protein UspA and related nucleotide-binding proteins	peg.3930			
"PTS system, beta-glucoside-specific IIA component (EC 2.7.1.69)"	peg.3932	Beta-Glucoside_Metabolism	Carbohydrates	rxn05647|rxn05501
"PTS system, beta-glucoside-specific IIB component (EC 2.7.1.69)"	peg.3932	Beta-Glucoside_Metabolism	Carbohydrates	rxn05647|rxn05501
